id_ordem,id_unico_peca,codigo_layout,qtd_cortada_no_layout,tempo_corte_segundos,id_fig,codigo_layout_pai
ORD9004609,146221376,RECOI21519L111-,1,56.917808528,,4432I193L1-
ORD9004609,146221377,RECOI21519L111-,1,56.917808528,,4432I193L1-
ORD9003665,146219690,RECOI21519L111-,1,65.462067517,,4432I193L1-
ORD9002574,146217793,RECOI21519L111-,1,29.196727708,,4432I193L1-
ORD9006566,146224564,4432I193L1-,1,27.931887518,,
ORD9002574,146217792,4432I193L1-,1,29.196727708,,
ORD9005125,146222175,4432I193L1-,1,28.037290868,,
ORD9004148,146220521,4432I193L2-,1,168.556979453,,
ORD9004544,146221228,4432I193L2-,1,47.655424865,,
ORD9004544,146221229,4432I193L2-,1,47.655424865,,
ORD9002216,146217147,4432I193L3-,1,48.207805976,,
ORD9002216,146217148,4432I193L3-,1,48.207805976,,
ORD9005784,146223255,4432I193L3-,1,47.454559007,,
ORD9006723,146224888,RETRI193L1-,1,35.796768223,,
ORD9006723,146224889,RETRI193L1-,1,35.796768223,,
ORD9006722,146224886,RETRI193L1-,1,35.796768223,,
ORD9006722,146224887,RETRI193L1-,1,35.796768223,,
ORD9004571,146221307,RETRI193L1-,1,35.796768223,,
ORD9005949,146223519,RETRI193L1-,1,35.603272178,,
ORD9006712,146224872,RETRI193L2-,1,52.826656332,,
ORD9006712,146224873,RETRI193L2-,1,52.826656332,,
ORD9002493,146217663,RETRI193L2-,1,52.483180023,,
ORD9004757,146221602,RETRI193L2-,1,53.925780521,,
ORD9005950,146223520,RETRI193L2-,1,54.26925683,,
ORD9002306,146217318,RETRI193L2-,1,35.202293832,,
